Solidity-File,Contract-Name,Avg-Assignment,Avg-blank-lines,Avg-commas,Avg-comments,Avg-comparisons,Avg-Identifiers-Length,Avg-conditionals,Avg-indentation-length,Avg-keywords,Avg-line-length,Avg-loops,Avg-number-of-identifiers,Avg-numbers,Avg-operators,Avg-parenthesis,Avg-periods,Avg-spaces,Max-Identifiers-Length,Max-indentation,Max-keywords,Max-line-length,Max-number-of-identifiers,Max-numbers,Max-char,Max-words,SLOC,ground truth,type
0,BREBuy,0.2487987502693384,0.0,0.273899303311068,0.0,0.1934752747252747,7.291435906499761,0.0738202973497091,8.131721866096866,0.1362436855083914,34.481036324786324,0.0163690476190476,1.0994557865881396,0.1892964878258995,0.1028065072182719,1.4378561253561255,0.3843617575235222,10.157990226004932,14,20,2,109,22,6,41,8,123,1,block number dependency
10,HumanStandardToken,0.4126984126984127,0.0,0.8253968253968254,0.5238095238095238,0.0,7.715151515151515,0.0,6.761904761904762,0.1269841269841269,59.20238095238095,0.0,1.619047619047619,0.0,0.3571428571428571,1.3968253968253967,0.2936507936507936,12.206349206349206,14,8,1,142,15,0,70,3,16,0,unchecked external call
10,StandardToken,0.0333333333333333,0.0,0.2993939393939394,0.2957575757575758,0.1127272727272727,6.28474025974026,0.0,6.038095238095238,0.3381818181818181,44.55873015873016,0.0,1.2799999999999998,0.0,0.2939393939393939,1.4484848484848485,0.163030303030303,7.896969696969696,8,8,2,95,22,0,37,6,33,0,unchecked external call
1000,BEAXY,0.2207631438609699,0.0162145523558567,0.1175042348955392,0.0135281385281385,0.207135798983625,7.144660894660895,0.0321212905452035,6.866729797979798,0.193819797352406,35.25863320707071,0.025595238095238,1.2694816958403916,0.2106711525189786,0.0692460317460317,1.685397452788757,0.2347908432147562,8.693388857519293,20,16,2,126,33,6,41,7,181,0,ether strict equality
1000,SafeMath,0.1625,0.0,0.225,0.0,0.425,1.6145833333333333,0.0,3.1,0.45,26.9625,0.0,1.2,0.1,0.275,1.675,0.0,6.9125,6,4,2,70,8,2,10,3,18,,
1000,Token,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,68.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0,4,2,68,0,0,7,0,1,,
1001,BasicToken,0.1624999999999999,0.0,0.3930555555555555,0.0,0.3125,6.054088546687231,0.0,3.3652777777777776,0.2763888888888889,40.81319444444445,0.025,1.98125,0.2305555555555555,0.05,2.004166666666667,0.3486111111111111,6.334027777777778,13,6,2,112,52,12,51,14,60,,
1001,CTCK,0.6666666666666666,0.0,0.1666666666666666,0.0,0.0,7.5,0.0,3.3333333333333335,0.1666666666666666,39.333333333333336,0.0,2.0,1.0,0.6666666666666666,1.6666666666666667,0.1666666666666666,7.166666666666667,11,4,1,62,12,6,19,3,6,,
1001,Ownable,0.2,0.0,0.1,0.0,0.25,6.375,0.0,3.1,0.1,25.45,0.0,1.3,0.2,0.0,1.75,0.125,4.7,20,4,1,65,8,2,21,3,9,,
1001,Pausable,0.1,0.0,0.0,0.0,0.0,6.395833333333334,0.0,3.1,0.1,18.875,0.0,0.775,0.0,0.0,1.425,0.0,4.35,13,4,1,65,4,0,11,1,18,,
