Solidity-File,Contract-Name,Avg-Assignment,Avg-blank-lines,Avg-commas,Avg-comments,Avg-comparisons,Avg-Identifiers-Length,Avg-conditionals,Avg-indentation-length,Avg-keywords,Avg-line-length,Avg-loops,Avg-number-of-identifiers,Avg-numbers,Avg-operators,Avg-parenthesis,Avg-periods,Avg-spaces,Max-Identifiers-Length,Max-indentation,Max-keywords,Max-line-length,Max-number-of-identifiers,Max-numbers,Max-char,Max-words,SLOC
0.sol,BREBuy,0.24879875026933848,0.0,0.273899303311068,0.0,0.1934752747252747,7.291435906499761,0.0738202973497091,8.131721866096866,0.1362436855083914,34.481036324786324,0.016369047619047616,1.0994557865881396,0.18929648782589958,0.1028065072182719,1.4378561253561255,0.38436175752352225,10.157990226004932,14,20,2,109,22,6,41,8,123
10.sol,HumanStandardToken,0.4126984126984127,0.0,0.8253968253968254,0.5238095238095238,0.0,7.715151515151515,0.0,6.761904761904762,0.12698412698412695,59.20238095238095,0.0,1.619047619047619,0.0,0.35714285714285715,1.3968253968253967,0.2936507936507936,12.206349206349206,14,8,1,142,15,0,70,3,16
10.sol,StandardToken,0.03333333333333332,0.0,0.2993939393939394,0.2957575757575758,0.11272727272727272,6.28474025974026,0.0,6.038095238095238,0.33818181818181814,44.55873015873016,0.0,1.2799999999999998,0.0,0.29393939393939394,1.4484848484848485,0.16303030303030303,7.8969696969696965,8,8,2,95,22,0,37,6,33
1000.sol,BEAXY,0.22076314386096993,0.016214552355856702,0.11750423489553923,0.013528138528138523,0.20713579898362508,7.144660894660895,0.03212129054520358,6.866729797979798,0.19381979735240604,35.25863320707071,0.02559523809523809,1.2694816958403916,0.2106711525189786,0.06924603174603174,1.685397452788757,0.23479084321475627,8.693388857519293,20,16,2,126,33,6,41,7,181
1000.sol,SafeMath,0.1625,0.0,0.225,0.0,0.42500000000000004,1.6145833333333333,0.0,3.1,0.45,26.9625,0.0,1.2,0.1,0.275,1.675,0.0,6.9125,6,4,2,70,8,2,10,3,18
1000.sol,Token,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,68.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0,4,2,68,0,0,7,0,1
1001.sol,BasicToken,0.16249999999999998,0.0,0.39305555555555555,0.0,0.3125,6.054088546687231,0.0,3.3652777777777776,0.2763888888888889,40.81319444444445,0.025,1.98125,0.23055555555555557,0.05,2.004166666666667,0.3486111111111111,6.334027777777778,13,6,2,112,52,12,51,14,60
1001.sol,CTCK,0.6666666666666666,0.0,0.1666666666666666,0.0,0.0,7.5,0.0,3.3333333333333335,0.1666666666666666,39.333333333333336,0.0,2.0,1.0,0.6666666666666666,1.6666666666666667,0.1666666666666666,7.166666666666667,11,4,1,62,12,6,19,3,6
1001.sol,Ownable,0.2,0.0,0.1,0.0,0.25,6.375,0.0,3.1,0.1,25.45,0.0,1.3,0.2,0.0,1.75,0.125,4.7,20,4,1,65,8,2,21,3,9
1001.sol,Pausable,0.1,0.0,0.0,0.0,0.0,6.395833333333334,0.0,3.1,0.1,18.875,0.0,0.775,0.0,0.0,1.425,0.0,4.35,13,4,1,65,4,0,11,1,18
1001.sol,SafeMath,0.14166666666666666,0.0,0.20416666666666666,0.0,0.42500000000000004,1.6145833333333333,0.0,3.1,0.4083333333333333,26.7375,0.0,1.1375,0.1,0.25416666666666665,1.55,0.0,6.479166666666667,6,4,2,69,8,2,10,3,20
1002.sol,MultiSigWallet,0.11276748140060831,0.0,0.10886485152274625,0.0,0.12275828901061098,7.089506937506937,0.10555649493265593,7.648071616721771,0.09051614226846423,26.98414439413356,0.028771109523431503,0.9531438973822874,0.1999671518711766,0.09153534752141562,1.1501067078776057,0.13615494790726987,8.867882889212611,18,16,2,79,28,8,46,11,233
1002.sol,MultiSigWalletWithDailyLimit,0.1352380952380952,0.0,0.1,0.0,0.09222222222222223,9.05890909090909,0.09555555555555555,7.67936507936508,0.13301587301587298,27.46142857142857,0.0,0.8539682539682539,0.1311111111111111,0.11444444444444443,1.0492063492063493,0.12,9.090317460317461,16,20,2,94,25,4,44,9,54
10022.sol,CrowdsaleExt,0.09297945764504989,0.05873563829849083,0.22244696781864387,0.0,0.1988528331950975,8.81311240359228,0.08298403069756816,3.2982599100246155,0.4865885697926391,42.99446672608437,0.015033740769034886,0.8793729498856413,0.16924542017209218,0.04519719469356858,2.186474458704515,0.2132018012205361,5.880255301261546,40,10,2,204,66,8,133,13,336
10022.sol,CrowdsaleTokenExt,0.2333333333333333,0.12777777777777777,0.17083333333333334,0.0,0.01875,8.269047619047619,0.01875,3.3432581453634085,0.24513888888888885,31.36967418546366,0.0,1.011111111111111,0.06944444444444445,0.0,1.5138888888888888,0.1736111111111111,4.680555555555555,23,8,2,131,24,4,30,5,54
10022.sol,FinalizeAgent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.6666666666666666,26.333333333333332,0.0,0.0,0.0,0.0,2.0,0.0,4.666666666666667,0,4,2,60,0,0,8,0,3
10022.sol,Haltable,0.18333333333333332,0.0,0.0,0.0,0.0,5.65,0.15,2.8666666666666663,0.13333333333333333,19.633333333333333,0.0,0.7333333333333333,0.0,0.0,1.1333333333333333,0.05,4.533333333333333,15,4,1,56,4,0,9,1,18
10022.sol,MintableTokenExt,0.10915032679738562,0.015972222222222218,0.1412173202614379,0.0,0.034313725490196074,9.989827533577534,0.043195611577964504,3.1971055088702145,0.3403186274509804,40.49132819794584,0.0049019607843137246,1.0097747432306254,0.05155228758169934,0.020915032679738557,1.5948295985060692,0.23232959850606907,5.475560224089636,32,8,2,139,28,4,76,7,74
10022.sol,Ownable,0.24444444444444446,0.0,0.06666666666666667,0.0,0.16666666666666666,5.583333333333333,0.0,2.9555555555555557,0.17777777777777778,21.96666666666667,0.0,1.0888888888888888,0.13333333333333333,0.0,1.611111111111111,0.19444444444444442,4.3999999999999995,20,4,1,65,8,2,20,3,12
10022.sol,PricingStrategy,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.333333333333333,1.0833333333333333,65.16666666666667,0.0,0.0,0.0,0.0,2.5,0.0,8.083333333333334,0,4,2,148,0,0,14,0,8
10022.sol,ReleasableToken,0.1238095238095238,0.05714285714285715,0.2619047619047619,0.0,0.0,7.173809523809523,0.07619047619047617,3.4047619047619047,0.1476190476190476,32.74404761904762,0.0,0.9452380952380953,0.0,0.0,1.7238095238095237,0.13095238095238096,5.347619047619048,14,12,1,108,6,0,18,2,38
10022.sol,ReservedTokensFinalizeAgent,0.20153061224489793,0.10147392290249432,0.07270408163265304,0.0,0.3112244897959183,8.560119047619047,0.05328798185941043,3.7926065162907268,0.26204648526077096,38.37139724310777,0.01020408163265305,0.9172335600907029,0.12698412698412698,0.05612244897959182,2.137755102040816,0.2534013605442177,5.406746031746032,40,10,2,110,60,14,218,11,65
10022.sol,SafeMath,0.07083333333333333,0.0,0.26875,0.0,0.575,1.3948863636363638,0.0,2.925,0.4354166666666667,29.54375,0.0,1.4520833333333334,0.09166666666666667,0.18958333333333333,1.8583333333333334,0.0,7.447916666666667,6,4,2,77,11,2,12,4,32
10022.sol,SafeMathLibExt,0.14166666666666666,0.0,0.20416666666666666,0.0,0.55,1.8418560606060606,0.0,3.1833333333333336,0.20416666666666666,21.975,0.0,1.4708333333333332,0.18333333333333335,0.37916666666666665,1.7166666666666668,0.0,6.591666666666667,6,4,1,51,11,2,9,4,20
