,ground truth
Max-Identifiers-Length,0.24467735499902654
Avg-Identifiers-Length,0.236035322466455
Avg-conditionals,0.18716577747536403
Max-words,0.1618066142281902
Avg-number-of-identifiers,0.13927121090618425
Max-numbers,0.13496165078548356
Avg-Assignment,0.12155233545123237
Max-keywords,0.11997675484790374
Avg-comparisons,0.10106605758829053
Max-indentation,0.09015167467603878
Avg-numbers,0.08806024378953714
Avg-operators,0.08721279273184396
Max-number-of-identifiers,0.0833430569112462
Avg-indentation-length,0.06323700779834728
Avg-periods,0.061593233923906386
Avg-loops,0.020639305778489558
Max-line-length,0.013136868734522569
Avg-blank-lines,0.0028094150820626705
Avg-comments,-0.008412880365303776
Max-char,-0.01712713212132248
Avg-spaces,-0.054079101573559316
SLOC,-0.06569847413495249
Avg-commas,-0.06744920748073145
Avg-line-length,-0.10350759421320746
Avg-parenthesis,-0.10506634065718354
Avg-keywords,-0.1327833126557082
