,ground truth
Avg-Identifiers-Length,0.26313411913906903
Max-numbers,0.24169714226127015
Avg-numbers,0.21225668617701582
Avg-Assignment,0.0631092012946401
Max-keywords,0.050908562083284085
Avg-number-of-identifiers,0.024368726985312925
Avg-indentation-length,0.020663966946455954
Max-Identifiers-Length,0.009456770823512171
Max-indentation,0.002405348727531342
Max-words,-0.005258968875069448
Avg-blank-lines,-0.006832931934022378
Max-line-length,-0.008024537683431386
Avg-parenthesis,-0.00896768261443002
Max-number-of-identifiers,-0.012029679403639729
Avg-loops,-0.043613980584829404
Max-char,-0.04796388756895137
SLOC,-0.048697176001688984
Avg-conditionals,-0.05096603323376462
Avg-spaces,-0.09693278503468825
Avg-commas,-0.09853164441764016
Avg-operators,-0.11420213122619405
Avg-keywords,-0.1285872365033052
Avg-line-length,-0.17011048719359384
Avg-comparisons,-0.206639500216075
Avg-periods,-0.2264820790420555
Avg-comments,
