,ground truth
Avg-comments,0.38367816419432166
Avg-operators,0.30551908227045793
Avg-spaces,0.2620070014809818
Avg-number-of-identifiers,0.16935322937522818
Max-line-length,0.1689785964414843
Max-keywords,0.14085421638462503
Avg-indentation-length,0.13600030328928103
Max-number-of-identifiers,0.13438455472764907
Max-words,0.10659348220213288
Avg-Assignment,0.09916059843518842
Max-indentation,0.08545715724624854
Avg-Identifiers-Length,0.07275076508562553
Max-char,0.06903551044804315
Avg-periods,0.06872233766281118
Avg-numbers,0.061240281786911356
Avg-line-length,0.06118076781685775
SLOC,0.05990747126995865
Max-Identifiers-Length,0.045403630264377486
Avg-commas,0.03579366947642168
Avg-comparisons,0.01982846935960195
Avg-loops,0.008517190570093607
Max-numbers,0.0035673831594261094
Avg-conditionals,-0.022172585611430977
Avg-blank-lines,-0.044927446922532956
Avg-keywords,-0.06177252041524401
Avg-parenthesis,-0.07620241810749698
