,ground truth
Avg-loops,0.9946248112615436
Avg-blank-lines,0.9806964902654394
Max-numbers,0.9509405746389584
Avg-operators,0.946826866858323
Max-number-of-identifiers,0.9432368592398769
Avg-conditionals,0.9311137772718565
Avg-indentation-length,0.9154898607501796
Max-indentation,0.912427628353029
Max-words,0.8738829590092038
Avg-numbers,0.8728727025882572
Max-char,0.8660828822132224
Avg-comparisons,0.8550165893395766
Avg-periods,0.6607151459533872
Avg-Assignment,0.5380458869311138
Avg-number-of-identifiers,0.5310439419148816
SLOC,0.4506327820135229
Max-Identifiers-Length,0.39118468440835674
Avg-spaces,0.36690114171889116
Max-line-length,0.3560634409089593
Avg-Identifiers-Length,0.3341160493358778
Max-keywords,0.24967906797657355
Avg-comments,0.21533205920686194
Avg-commas,-0.21892916787944305
Avg-line-length,-0.22428760590158764
Avg-parenthesis,-0.4105217931553614
Avg-keywords,-0.4741040376237885
