,ground truth
Max-number-of-identifiers,0.417843168682557
Max-words,0.40830092865144074
Max-Identifiers-Length,0.3509302577589648
Max-line-length,0.3345866674181858
Max-char,0.33321390644623633
SLOC,0.3079917953507636
Max-indentation,0.2652119469685417
Avg-Identifiers-Length,0.24817344368450578
Avg-blank-lines,0.24123479647471333
Avg-periods,0.2384750206838368
Avg-indentation-length,0.23259942112730997
Max-numbers,0.22528558743291313
Max-keywords,0.20392613627992742
Avg-comparisons,0.18821559734193588
Avg-number-of-identifiers,0.18208244551515929
Avg-numbers,0.17818933704450565
Avg-loops,0.17230316572467108
Avg-conditionals,0.16224128635404983
Avg-Assignment,0.1514762271020427
Avg-operators,0.12118632191619716
Avg-spaces,0.03348972491460366
Avg-line-length,0.006722521669948139
Avg-comments,-0.012637177791506094
Avg-parenthesis,-0.08696707700767255
Avg-commas,-0.09705526953353841
Avg-keywords,-0.14011758044725833
