,ground truth
Max-indentation,0.2970578777333183
Avg-blank-lines,0.27492639257456536
Max-Identifiers-Length,0.27037159595551996
Avg-comparisons,0.26762192908077065
Max-number-of-identifiers,0.1621696360131151
Avg-indentation-length,0.16122474407461726
Max-keywords,0.13053249799047256
Max-char,0.12221157725323986
Avg-Identifiers-Length,0.11262551247231227
Avg-loops,0.1008864768239306
Avg-periods,0.09123946311242068
Max-line-length,0.08281581292168792
SLOC,0.06452393634762582
Max-words,0.05438767265291705
Avg-number-of-identifiers,0.051981816931122485
Max-numbers,0.04926195461068187
Avg-conditionals,0.04237904479615038
Avg-Assignment,0.0016836077229336003
Avg-numbers,-0.016950976915423816
Avg-spaces,-0.01802546205311312
Avg-comments,-0.03357130094545841
Avg-operators,-0.039861149018885184
Avg-line-length,-0.08592383467962801
Avg-keywords,-0.0865612866565527
Avg-commas,-0.0902302518164996
Avg-parenthesis,-0.0989147586793372
