Solidity-File;Contract-Name;Function-Name;SLOC;Avg-Assignment;Avg-blank-lines;Avg-commas;Avg-comments;Avg-comparisons;Avg-Identifiers-Length;Avg-conditionals;Avg-indentation-length;Avg-keywords;Avg-line-length;Avg-loops;Avg-number-of-identifiers;Avg-numbers;Avg-operators;Avg-parenthesis;Avg-periods;Avg-spaces;Max-Identifiers-Length;Max-indentation;Max-keywords;Max-line-length;Max-number-of-identifiers;Max-numbers;Max-char;Max-words
138.sol;SafeMath;sub;4;0,0;0,0;0,25;0,0;0,5;2,0;0,0;6,0;0,5;30,25;0,0;1,25;0,0;0,25;2,0;0,0;9,5;6;8;2;72;5;0;9;2
138.sol;PensionCoin;();3;0,0;0,0;0,0;0,0;0,0;9,0;0,0;5,666666666666667;0,6666666666666666;20,0;0,0;0,3333333333333333;0,0;0,0;2,0;0,0;7,0;9;8;2;34;1;0;5;1
138.sol;PensionCoin;transferFrom;12;0,3333333333333333;0,08333333333333333;0,3333333333333333;0,0;0,3333333333333333;6,151515151515151;0,0;7,2;0,08333333333333333;51,1;0,0;2,75;0,5;0,08333333333333333;2,0;0,5;9,166666666666666;15;8;1;126;33;6;31;7
138.sol;SafeMath;mul;8;0,125;0,0;0,125;0,0;0,5;1,5555555555555556;0,125;7,5;0,25;24,0;0,0;1,125;0,5;0,25;1,5;0,0;10,5;6;12;2;74;9;4;10;3
138.sol;PensionCoin;getTokens;18;0,2222222222222222;0,16666666666666666;0,05555555555555555;0,0;0,3333333333333333;8,176470588235293;0,1111111111111111;8,0;0,1111111111111111;33,07692307692308;0,0;0,9444444444444444;0,4444444444444444;0,05555555555555555;1,1111111111111112;0,2777777777777778;9,11111111111111;20;12;2;63;17;8;26;4
138.sol;SafeMath;div;6;0,0;0,0;0,16666666666666666;0,5;0,0;1,0;0,0;5,333333333333333;0,3333333333333333;32,666666666666664;0,0;0,3333333333333333;0,0;0,16666666666666666;1,0;0,0;4,666666666666667;1;8;2;72;2;0;17;1
138.sol;PensionCoin;finishDistribution;5;0,2;0,0;0,0;0,0;0,0;12,5;0,0;6,4;0,2;33,2;0,0;0,8;0,0;0,0;1,6;0,0;8,6;20;8;1;76;4;0;17;1
138.sol;PensionCoin;adminClaimAirdrop;3;0,0;0,0;0,6666666666666666;0,0;0,0;9,25;0,0;5,333333333333333;0,3333333333333333;46,333333333333336;0,0;1,3333333333333333;0,0;0,0;2,0;0,0;10,666666666666666;12;8;1;93;4;0;11;1
138.sol;PensionCoin;getTokenBalance;5;0,4;0,0;0,2;0,0;0,0;6,2;0,0;6,4;0,4;41,4;0,0;1,0;0,0;0,0;2,0;0,2;9,4;12;8;2;95;5;0;17;1
138.sol;PensionCoin;PensionCoin;5;0,4;0,0;0,2;0,0;0,0;5,4;0,0;6,4;0,2;27,8;0,0;1,0;0,4;0,0;1,2;0,2;8,4;9;8;1;39;5;2;11;2
138.sol;PensionCoin;doAirdrop;17;0,17647058823529413;0,23529411764705882;0,29411764705882354;0,058823529411764705;0,23529411764705882;10,583333333333334;0,058823529411764705;7,636363636363637;0,058823529411764705;46,09090909090909;0,0;1,411764705882353;0,23529411764705882;0,0;1,2941176470588236;0,11764705882352941;7,529411764705882;20;12;1;69;24;4;46;5
138.sol;PensionCoin;withdrawAltcoinTokens;5;0,4;0,0;0,2;0,0;0,0;7,5;0,0;6,4;0,2;51,2;0,0;1,6;0,0;0,0;2,8;0,4;9,4;14;8;1;92;8;0;25;2
138.sol;SafeMath;add;5;0,2;0,0;0,2;0,0;0,4;1,7142857142857142;0,0;6,4;0,4;27,4;0,0;1,4;0,0;0,2;1,6;0,0;9,8;6;8;2;74;7;0;9;3
138.sol;PensionCoin;burn;9;0,4444444444444444;0,0;0,1111111111111111;0,0;0,2222222222222222;7,6;0,0;7,0;0,1111111111111111;41,625;0,0;2,2222222222222223;0,0;0,0;1,5555555555555556;0,5555555555555556;9,11111111111111;16;8;1;56;20;0;24;5
138.sol;PensionCoin;canDistr;4;0,0;0,0;0,0;0,0;0,0;9,333333333333334;0,0;6,0;0,0;19,75;0,0;0,75;0,0;0,0;1,5;0,0;6,5;20;8;0;39;3;0;9;1
138.sol;PensionCoin;allowance;3;0,0;0,0;0,3333333333333333;0,0;0,0;7,0;0,0;5,333333333333333;0,6666666666666666;46,0;0,0;1,0;0,0;0,0;2,0;0,0;8,666666666666666;8;8;2;92;3;0;12;1
138.sol;PensionCoin;onlyPayloadSize;4;0,0;0,0;0,0;0,0;0,5;3,5;0,0;6,0;0,0;25,0;0,0;1,0;0,5;0,25;1,5;0,5;7,75;6;8;0;44;4;2;6;1
138.sol;PensionCoin;transfer;10;0,3;0,1;0,3;0,0;0,2;6,142857142857143;0,0;7,0;0,1;47,5;0,0;2,1;0,6;0,1;2,0;0,6;8,8;15;8;1;107;21;6;27;5
