Solidity-File;Contract-Name;Function-Name;SLOC;Avg-Assignment;Avg-blank-lines;Avg-commas;Avg-comments;Avg-comparisons;Avg-Identifiers-Length;Avg-conditionals;Avg-indentation-length;Avg-keywords;Avg-line-length;Avg-loops;Avg-number-of-identifiers;Avg-numbers;Avg-operators;Avg-parenthesis;Avg-periods;Avg-spaces;Max-Identifiers-Length;Max-indentation;Max-keywords;Max-line-length;Max-number-of-identifiers;Max-numbers;Max-char;Max-words
22229.sol;MultiSigStub;();6;0,0;0,16666666666666666;0,0;0,0;0,0;9,0;0,0;5,6;0,3333333333333333;11,2;0,0;0,16666666666666666;0,0;0,0;0,6666666666666666;0,0;4,666666666666667;9;8;2;17;1;0;4;1
22229.sol;MultiSigStub;getTransactionIds;19;0,3684210526315789;0,0;0,15789473684210525;0,0;0,10526315789473684;6,214285714285714;0,05263157894736842;8,842105263157896;0,10526315789473684;34,89473684210526;0,10526315789473684;1,4736842105263157;0,3157894736842105;0,3684210526315789;1,1578947368421053;0,10526315789473684;11,789473684210526;18;16;2;95;28;6;46;11
22229.sol;MultiSigStub;getTransactionCount;8;0,0;0,125;0,125;0,0;0,0;9,0;0,0;6,285714285714286;0,25;20,0;0,0;0,125;0,0;0,0;0,75;0,0;6,125;9;8;2;61;1;0;11;1
22229.sol;MultiSigStub;setMyTokenList;6;0,0;0,16666666666666666;0,0;0,0;0,0;9,0;0,0;5,6;0,16666666666666666;18,4;0,0;0,16666666666666666;0,0;0,0;0,6666666666666666;0,0;5,333333333333333;9;8;1;51;1;0;7;1
22229.sol;MultiSigStub;getConfirmationCount;8;0,0;0,125;0,0;0,0;0,0;9,0;0,0;6,285714285714286;0,25;18,857142857142858;0,0;0,125;0,0;0,0;0,75;0,0;5,875;9;8;2;53;1;0;12;1
22229.sol;MultiSigStub;submitTransaction;7;0,0;0,0;0,2857142857142857;0,0;0,0;9,0;0,0;6,0;0,14285714285714285;23,0;0,0;0,14285714285714285;0,0;0,0;0,8571428571428571;0,0;7,285714285714286;9;8;1;75;1;0;11;1
22229.sol;MultiSigStub;tokenBalances;8;0,0;0,125;0,0;0,0;0,0;9,0;0,0;6,285714285714286;0,25;18,571428571428573;0,0;0,125;0,0;0,0;0,75;0,0;6,25;9;8;2;49;1;0;9;1
22229.sol;MultiSigStub;MultiSigStub;14;0,35714285714285715;0,07142857142857142;0,5;0,0;0,0;6,333333333333333;0,0;8,0;0,07142857142857142;35,833333333333336;0,0;1,2857142857142858;0,7142857142857143;0,2857142857142857;1,5714285714285714;0,07142857142857142;10,0;13;12;1;70;18;10;25;3
22229.sol;MultiSigStub;watch;6;0,0;0,0;0,0;0,0;0,0;9,0;0,0;5,6;0,16666666666666666;15,8;0,0;0,16666666666666666;0,0;0,0;0,6666666666666666;0,0;6,333333333333333;9;8;1;38;1;0;6;1
22229.sol;MultiSigStub;confirmTransaction;6;0,0;0,0;0,0;0,0;0,0;9,0;0,0;5,6;0,16666666666666666;18,4;0,0;0,16666666666666666;0,0;0,0;0,6666666666666666;0,0;6,333333333333333;9;8;1;51;1;0;8;1
22229.sol;MultiSigStub;getOwners;7;0,0;0,0;0,0;0,0;0,0;6,0;0,0;6,285714285714286;0,2857142857142857;16,142857142857142;0,0;0,14285714285714285;0,0;0,0;0,8571428571428571;0,0;6,714285714285714;6;8;2;27;1;0;8;1
22229.sol;MultiSigStub;getTokenList;7;0,0;0,0;0,0;0,0;0,0;6,0;0,0;6,285714285714286;0,2857142857142857;16,571428571428573;0,0;0,14285714285714285;0,0;0,0;0,8571428571428571;0,0;6,714285714285714;6;8;2;27;1;0;8;1
22229.sol;MultiSigFactory;create;4;0,25;0,0;0,75;0,0;0,0;5,833333333333333;0,0;6,0;0,25;43,5;0,0;1,5;0,0;0,0;2,5;0,25;9,25;8;8;1;81;6;0;19;2
22229.sol;MultiSigStub;delegated;14;0,21428571428571427;0,14285714285714285;0,2857142857142857;0,0;0,0;5,909090909090909;0,0;8,0;0,0;24,583333333333332;0,0;0,7857142857142857;0,0;0,0;1,0;0,14285714285714285;8,071428571428571;13;12;0;53;11;0;19;3
22229.sol;MultiSigStub;isConfirmed;8;0,0;0,125;0,0;0,0;0,0;9,0;0,0;6,285714285714286;0,25;17,571428571428573;0,0;0,125;0,0;0,0;0,75;0,0;5,875;9;8;2;44;1;0;9;1
22229.sol;MultiSigStub;getConfirmations;19;0,3684210526315789;0,0;0,0;0,0;0,10526315789473684;5,916666666666667;0,05263157894736842;8,842105263157896;0,10526315789473684;31,210526315789473;0,10526315789473684;1,263157894736842;0,42105263157894735;0,2631578947368421;1,1578947368421053;0,10526315789473684;10,947368421052632;17;16;2;74;24;8;41;10
22229.sol;MultiSigStub;_delegatecall;9;0,2222222222222222;0,1111111111111111;0,7777777777777778;0,0;0,0;6,0;0,0;6,5;0,1111111111111111;35,625;0,0;1,0;0,8888888888888888;0,0;1,3333333333333333;0,0;8,11111111111111;12;8;1;73;9;8;19;2
22229.sol;MultiSigStub;_malloc;9;0,1111111111111111;0,0;0,2222222222222222;0,0;0,0;4,666666666666667;0,0;7,555555555555555;0,1111111111111111;21,11111111111111;0,0;0,6666666666666666;0,0;0,0;1,5555555555555556;0,0;8,777777777777779;6;12;1;42;6;0;11;2
