Solidity-File;Contract-Name;Function-Name;SLOC;Avg-Assignment;Avg-blank-lines;Avg-commas;Avg-comments;Avg-comparisons;Avg-Identifiers-Length;Avg-conditionals;Avg-indentation-length;Avg-keywords;Avg-line-length;Avg-loops;Avg-number-of-identifiers;Avg-numbers;Avg-operators;Avg-parenthesis;Avg-periods;Avg-spaces;Max-Identifiers-Length;Max-indentation;Max-keywords;Max-line-length;Max-number-of-identifiers;Max-numbers;Max-char;Max-words
20625.sol;SafeMath;sub;4;0,0;0,0;0,25;0,0;0,5;2,0;0,0;6,0;0,5;28,0;0,0;1,25;0,0;0,25;2,0;0,0;9,5;6;8;2;63;5;0;9;2
20625.sol;VersionedToken;();29;0,20689655172413793;0,1724137931034483;0,3448275862068966;0,0;0,0;13,291666666666666;0,0;10,88888888888889;0,034482758620689655;40,333333333333336;0,0;0,8275862068965517;0,13793103448275862;0,0;0,8275862068965517;0,034482758620689655;10,310344827586206;25;16;1;127;24;4;49;4
20625.sol;ERC20Token;transferFrom;11;0,09090909090909091;0,0;0,7272727272727273;0,0;0,0;6,117647058823529;0,09090909090909091;8,181818181818182;0,09090909090909091;36,18181818181818;0,0;1,5454545454545454;0,0;0,0;1,8181818181818181;0,2727272727272727;10,545454545454545;18;12;1;87;17;0;30;3
20625.sol;SafeMath;mul;5;0,2;0,0;0,2;0,0;0,8;1,625;0,0;6,4;0,4;29,0;0,0;1,6;0,4;0,4;1,6;0,0;11,0;6;8;2;63;8;2;10;3
20625.sol;VersionedToken;VersionedToken;3;0,3333333333333333;0,0;0,0;0,0;0,0;19,5;0,0;5,333333333333333;0,3333333333333333;38,666666666666664;0,0;0,6666666666666666;0,0;0,0;1,3333333333333333;0,0;7,333333333333333;25;8;1;60;2;0;11;1
20625.sol;ELTTokenImpl;setreleaseFinalizationDate;3;0,3333333333333333;0,0;0,0;0,0;0,0;12,666666666666666;0,0;5,333333333333333;0,3333333333333333;39,0;0,0;1,0;0,0;0,0;1,3333333333333333;0,0;7,666666666666667;23;8;1;71;3;0;12;1
20625.sol;VersionedToken;update;3;0,3333333333333333;0,0;0,0;0,0;0,0;14,666666666666666;0,0;5,333333333333333;0,3333333333333333;36,666666666666664;0,0;1,0;0,0;0,0;1,3333333333333333;0,0;7,666666666666667;25;8;1;58;3;0;9;1
20625.sol;ERC20Token;checkTransferRequirements;10;0,2;0,0;0,2;0,0;0,5;6,9411764705882355;0,2;7,6;0,2;36,9;0,0;1,7;0,4;0,0;2,4;0,2;10,0;23;12;2;94;17;4;37;4
20625.sol;TimeVaultToken;timeVault;3;0,0;0,0;0,0;0,0;0,0;7,0;0,0;5,333333333333333;0,6666666666666666;42,666666666666664;0,0;0,6666666666666666;0,0;0,0;2,0;0,0;8,333333333333334;9;8;2;91;2;0;11;1
20625.sol;SafeMath;div;6;0,16666666666666666;0,0;0,16666666666666666;0,0;0,0;1,0;0,0;6,0;0,3333333333333333;27,0;0,0;0,5;0,0;0,16666666666666666;1,0;0,0;9,5;1;8;2;63;3;0;10;1
20625.sol;StandardTokenExt;isToken;3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,333333333333333;0,6666666666666666;27,333333333333332;0,0;0,0;0,0;0,0;2,0;0,0;8,0;0;8;2;57;0;0;7;0
20625.sol;StandardToken;increaseApproval;5;0,2;0,0;0,6;0,0;0,0;6,461538461538462;0,0;6,4;0,2;56,8;0,0;2,6;0,0;0,0;2,0;1,0;9,4;11;8;1;97;13;0;33;4
20625.sol;ELTTokenImpl;ELTTokenImpl;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0;0,5;20,5;0,0;0,0;0,0;0,0;2,0;0,0;5,5;0;4;1;36;0;0;3;0
