Solidity-File;Contract-Name;Function-Name;SLOC;Avg-Assignment;Avg-blank-lines;Avg-commas;Avg-comments;Avg-comparisons;Avg-Identifiers-Length;Avg-conditionals;Avg-indentation-length;Avg-keywords;Avg-line-length;Avg-loops;Avg-number-of-identifiers;Avg-numbers;Avg-operators;Avg-parenthesis;Avg-periods;Avg-spaces;Max-Identifiers-Length;Max-indentation;Max-keywords;Max-line-length;Max-number-of-identifiers;Max-numbers;Max-char;Max-words
868.sol;SafeMath;sub;4;0,0;0,0;0,25;0,0;0,5;2,0;0,0;3,0;0,5;28,25;0,0;1,25;0,0;0,25;2,0;0,0;6,5;6;4;2;74;5;0;11;2
868.sol;MinterStorePoolCrowdsale;();3;0,0;0,0;0,3333333333333333;0,0;0,0;6,0;0,0;2,6666666666666665;0,6666666666666666;23,333333333333332;0,0;1,0;0,0;0,0;2,0;0,6666666666666666;2,0;12;4;2;38;3;0;9;2
868.sol;PausableToken;transferFrom;3;0,0;0,0;1,3333333333333333;0,0;0,0;6,4;0,0;2,6666666666666665;0,3333333333333333;52,666666666666664;0,0;1,6666666666666667;0,0;0,0;2,6666666666666665;0,3333333333333333;7,333333333333333;13;4;1;105;5;0;15;1
868.sol;MinterStorePoolCrowdsale;setPeriodRound;3;0,3333333333333333;0,0;0,0;0,0;0,0;11,333333333333334;0,0;2,6666666666666665;0,3333333333333333;32,333333333333336;0,0;1,0;0,0;0,0;1,3333333333333333;0,0;3,0;14;4;1;64;3;0;11;1
868.sol;MinterStorePoolCrowdsale;createTokens;7;0,2857142857142857;0,0;0,42857142857142855;0,2857142857142857;0,14285714285714285;9,909090909090908;0,0;3,4285714285714284;0,14285714285714285;41,857142857142854;0,0;1,5714285714285714;0,8571428571428571;0,2857142857142857;1,7142857142857142;0,2857142857142857;3,857142857142857;19;4;1;103;11;6;30;2
868.sol;SafeMath;mul;5;0,2;0,0;0,2;0,0;0,8;1,625;0,0;3,2;0,4;29,0;0,0;1,6;0,4;0,4;1,6;0,0;7,8;6;4;2;74;8;2;12;3
868.sol;MinterStorePoolCrowdsale;retrieveTokens;4;0,25;0,0;0,5;0,0;0,0;8,285714285714286;0,0;3,0;0,25;46,0;0,0;1,75;0,0;0,0;2,5;0,5;3,25;12;4;1;81;7;0;21;2
868.sol;MinterStorePoolCrowdsale;TotalCapitalization;4;0,0;0,0;0,0;0,0;0,5;11,6;0,0;3,0;0,0;28,25;0,0;1,25;0,0;0,25;1,5;0,25;1,5;19;4;0;76;5;0;15;1
868.sol;Pausable;whenPaused;4;0,0;0,0;0,0;0,0;0,0;4,666666666666667;0,0;3,0;0,0;13,5;0,0;0,75;0,0;0,0;1,5;0,0;3,5;7;4;0;25;3;0;6;1
868.sol;SafeMath;div;6;0,16666666666666666;0,0;0,16666666666666666;0,3333333333333333;0,0;1,0;0,0;3,0;0,3333333333333333;28,0;0,0;0,5;0,0;0,16666666666666666;1,0;0,0;4,5;1;4;2;74;3;0;18;1
868.sol;MinterStorePoolCrowdsale;setTotalCapitalization;3;0,3333333333333333;0,0;0,0;0,0;0,0;16,666666666666668;0,0;2,6666666666666665;0,3333333333333333;42,666666666666664;0,0;1,0;0,0;0,0;1,3333333333333333;0,0;2,6666666666666665;22;4;1;80;3;0;16;1
868.sol;PausableToken;increaseApproval;3;0,0;0,0;0,6666666666666666;0,0;0,0;9,25;0,0;2,6666666666666665;0,3333333333333333;56,333333333333336;0,0;1,3333333333333333;0,0;0,0;2,6666666666666665;0,3333333333333333;6,666666666666667;13;4;1;109;4;0;19;1
868.sol;MintableToken;mint;7;0,2857142857142857;0,0;0,5714285714285714;0,0;0,0;6,625;0,0;3,4285714285714284;0,14285714285714285;34,857142857142854;0,0;2,2857142857142856;0,2857142857142857;0,0;2,0;0,2857142857142857;5,857142857142857;11;4;1;80;16;2;22;4
868.sol;MinterStorePoolCrowdsale;CrowdsaleIsOn;4;0,0;0,0;0,0;0,0;1,0;6,428571428571429;0,0;3,0;0,0;25,75;0,0;1,75;0,5;0,5;1,5;0,0;3,25;11;4;0;72;7;2;8;2
868.sol;MintableToken;canMint;4;0,0;0,0;0,0;0,0;0,0;7,666666666666667;0,0;3,0;0,0;15,25;0,0;0,75;0,0;0,0;1,5;0,0;3,5;15;4;0;30;3;0;8;1
868.sol;MinterStorePoolCrowdsale;MinterStorePoolCrowdsale;7;0,7142857142857143;0,0;0,0;0,0;0,0;14,2;0,0;3,4285714285714284;0,14285714285714285;29,714285714285715;0,0;0,7142857142857143;1,4285714285714286;0,0;0,5714285714285714;0,0;2,142857142857143;19;4;1;61;5;10;15;1
868.sol;Ownable;Ownable;3;0,3333333333333333;0,0;0,0;0,0;0,0;4,0;0,0;2,6666666666666665;0,3333333333333333;16,0;0,0;0,6666666666666666;0,0;0,0;1,3333333333333333;0,3333333333333333;4,0;5;4;1;23;2;0;5;1
868.sol;MinterStorePoolCrowdsale;setMultisigWallet;4;0,5;0,0;0,0;0,0;0,0;12,8;0,0;3,0;0,25;36,5;0,0;1,25;0,5;0,0;1,5;0,0;2,5;17;4;1;73;5;2;17;2
868.sol;SafeMath;add;5;0,2;0,0;0,2;0,0;0,4;1,8333333333333333;0,0;3,2;0,4;26,2;0,0;1,2;0,0;0,2;1,6;0,0;6,6;6;4;2;74;6;0;12;2
868.sol;PausableToken;decreaseApproval;3;0,0;0,0;0,6666666666666666;0,0;0,0;10,5;0,0;2,6666666666666665;0,3333333333333333;59,666666666666664;0,0;1,3333333333333333;0,0;0,0;2,6666666666666665;0,3333333333333333;6,666666666666667;16;4;1;114;4;0;21;1
868.sol;MinterStorePoolCrowdsale;setStartRound;3;0,3333333333333333;0,0;0,0;0,0;0,0;10,666666666666666;0,0;2,6666666666666665;0,3333333333333333;30,666666666666668;0,0;1,0;0,0;0,0;1,3333333333333333;0,0;2,6666666666666665;13;4;1;62;3;0;11;1
