Solidity-File;Contract-Name;Function-Name;SLOC;Avg-Assignment;Avg-blank-lines;Avg-commas;Avg-comments;Avg-comparisons;Avg-Identifiers-Length;Avg-conditionals;Avg-indentation-length;Avg-keywords;Avg-line-length;Avg-loops;Avg-number-of-identifiers;Avg-numbers;Avg-operators;Avg-parenthesis;Avg-periods;Avg-spaces;Max-Identifiers-Length;Max-indentation;Max-keywords;Max-line-length;Max-number-of-identifiers;Max-numbers;Max-char;Max-words
688.sol;SafeMath;sub;4;0,0;0,0;0,25;0,0;0,5;2,0;0,0;6,0;0,5;30,25;0,0;1,25;0,0;0,25;2,0;0,0;9,5;6;8;2;72;5;0;9;2
688.sol;QPay;();45;0,13333333333333333;0,17777777777777778;0,08888888888888889;0,0;0,2222222222222222;9,641509433962264;0,15555555555555556;14,264705882352942;0,044444444444444446;40,705882352941174;0,0;1,1777777777777778;0,35555555555555557;0,3333333333333333;1,1555555555555554;0,3333333333333333;12,866666666666667;28;24;2;125;53;16;73;14
688.sol;QPay;Owner;3;0,0;0,0;0,0;0,0;0,0;5,0;0,0;5,333333333333333;0,6666666666666666;31,333333333333332;0,0;0,3333333333333333;0,0;0,0;2,0;0,0;7,666666666666667;5;8;2;68;1;0;9;1
688.sol;QPay;OwnerDistribSupply_;3;0,0;0,0;0,0;0,0;0,0;19,0;0,0;5,333333333333333;0,6666666666666666;42,666666666666664;0,0;0,3333333333333333;0,0;0,0;2,0;0,0;7,666666666666667;19;8;2;88;1;0;10;1
688.sol;QPay;transferFrom;18;0,0;0,0;0,2222222222222222;0,0;0,3333333333333333;5,962962962962963;0,05555555555555555;9,166666666666666;0,05555555555555555;30,22222222222222;0,0;1,5;0,1111111111111111;0,2222222222222222;0,7777777777777778;0,1111111111111111;11,11111111111111;8;12;1;54;27;2;26;8
688.sol;SafeMath;mul;8;0,125;0,0;0,125;0,0;0,5;1,5555555555555556;0,125;7,5;0,25;24,0;0,0;1,125;0,5;0,25;1,5;0,0;10,5;6;12;2;74;9;4;10;3
688.sol;QPay;distributeAmounts;23;0,21739130434782608;0,21739130434782608;0,13043478260869565;0,0;0,391304347826087;10,029411764705882;0,043478260869565216;10,222222222222221;0,043478260869565216;44,5;0,043478260869565216;1,4782608695652173;0,2608695652173913;0,30434782608695654;0,8695652173913043;0,17391304347826086;10,08695652173913;27;16;1;89;34;6;43;6
688.sol;QPay;RemainingTokensReceiverAddress;3;0,0;0,0;0,0;0,0;0,0;31,0;0,0;5,333333333333333;0,6666666666666666;54,333333333333336;0,0;0,3333333333333333;0,0;0,0;2,0;0,0;7,666666666666667;31;8;2;111;1;0;21;1
688.sol;QPay;distribution;21;0,23809523809523808;0,19047619047619047;0,14285714285714285;0,0;0,42857142857142855;10,515151515151516;0,047619047619047616;9,117647058823529;0,047619047619047616;43,411764705882355;0,047619047619047616;1,5714285714285714;0,2857142857142857;0,3333333333333333;0,9523809523809523;0,09523809523809523;9,619047619047619;27;12;1;89;33;6;44;8
688.sol;SafeMath;div;6;0,0;0,0;0,16666666666666666;0,0;0,0;1,0;0,0;5,333333333333333;0,3333333333333333;32,666666666666664;0,0;0,3333333333333333;0,0;0,16666666666666666;1,0;0,0;8,666666666666666;1;8;2;72;2;0;9;1
