Solidity-File;Contract-Name;Function-Name;SLOC;Avg-Assignment;Avg-blank-lines;Avg-commas;Avg-comments;Avg-comparisons;Avg-Identifiers-Length;Avg-conditionals;Avg-indentation-length;Avg-keywords;Avg-line-length;Avg-loops;Avg-number-of-identifiers;Avg-numbers;Avg-operators;Avg-parenthesis;Avg-periods;Avg-spaces;Max-Identifiers-Length;Max-indentation;Max-keywords;Max-line-length;Max-number-of-identifiers;Max-numbers;Max-char;Max-words
24507.sol;SafeMath;sub;4;0,0;0,0;0,25;0,0;0,5;2,0;0,0;3,0;0,5;27,25;0,0;1,25;0,0;0,25;2,0;0,0;6,5;6;4;2;70;5;0;9;2
24507.sol;ERC20;transferFrom;2;0,0;0,0;1,0;0,0;0,0;0,0;0,0;3,0;0,5;45,0;0,0;0,0;0,0;0,0;2,0;0,0;7,0;0;4;1;64;0;0;8;0
24507.sol;IMultiToken;getReturn;1;0,0;0,0;2,0;0,0;0,0;0,0;0,0;4,0;2,0;121,0;0,0;0,0;0,0;0,0;4,0;0,0;15,0;0;4;2;121;0;0;11;0
24507.sol;SafeMath;mul;12;0,08333333333333333;0,08333333333333333;0,08333333333333333;0,25;0,3333333333333333;1,5555555555555556;0,08333333333333333;3,75;0,16666666666666666;20,25;0,0;0,75;0,3333333333333333;0,16666666666666666;1,0;0,0;4,5;6;6;2;72;9;4;25;3
24507.sol;MultiBuyer;buy;48;0,25;0,10416666666666667;0,2916666666666667;0,041666666666666664;0,25;5,875;0,08333333333333333;9,674418604651162;0,041666666666666664;42,83720930232558;0,0625;1,5;0,5;0,3125;1,75;0,5208333333333334;11,479166666666666;14;16;2;125;72;24;108;16
24507.sol;SafeMath;div;6;0,0;0,0;0,16666666666666666;0,5;0,0;1,0;0,0;2,6666666666666665;0,3333333333333333;30,0;0,0;0,3333333333333333;0,0;0,16666666666666666;1,0;0,0;3,3333333333333335;1;4;2;70;2;0;17;1
24507.sol;IBasicMultiToken;allDecimals;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0;2,0;56,0;0,0;0,0;0,0;0,0;4,0;0,0;8,0;0;4;2;56;0;0;5;0
24507.sol;Ownable;renounceOwnership;4;0,25;0,0;0,0;0,0;0,0;9,25;0,0;3,0;0,25;27,5;0,0;1,0;0,5;0,0;2,0;0,0;4,75;18;4;1;49;4;2;12;2
24507.sol;IBasicMultiToken;allTokensDecimalsBalances;1;0,0;0,0;2,0;0,0;0,0;0,0;0,0;4,0;2,0;90,0;0,0;0,0;0,0;0,0;4,0;0,0;10,0;0;4;2;90;0;0;7;0
24507.sol;SafeERC20;safeTransferFrom;10;0,0;0,0;0,5;0,0;0,0;4,6;0,0;3,2;0,1;16,3;0,0;0,5;0,0;0,0;0,8;0,1;3,9;7;4;1;49;5;0;13;1
