Solidity-File;Contract-Name;Function-Name;SLOC;Avg-Assignment;Avg-blank-lines;Avg-commas;Avg-comments;Avg-comparisons;Avg-Identifiers-Length;Avg-conditionals;Avg-indentation-length;Avg-keywords;Avg-line-length;Avg-loops;Avg-number-of-identifiers;Avg-numbers;Avg-operators;Avg-parenthesis;Avg-periods;Avg-spaces;Max-Identifiers-Length;Max-indentation;Max-keywords;Max-line-length;Max-number-of-identifiers;Max-numbers;Max-char;Max-words
40462.sol;Dice;();3;0,0;0,0;0,0;0,0;0,0;3,0;0,0;5,333333333333333;0,3333333333333333;11,666666666666666;0,0;0,3333333333333333;0,0;0,0;2,0;0,0;5,666666666666667;3;8;1;16;1;0;2;1
40462.sol;Dice;resumeContract;4;0,5;0,0;0,0;0,0;0,0;5,666666666666667;0,25;6,0;0,25;25,25;0,0;0,75;0,0;0,0;1,5;0,25;8,0;9;8;1;39;3;0;7;1
40462.sol;Dice;__callback;34;0,20588235294117646;0,029411764705882353;0,17647058823529413;0,08823529411764706;0,23529411764705882;7,122448979591836;0,14705882352941177;14,571428571428571;0,029411764705882353;43,92857142857143;0,0;1,4411764705882353;0,6470588235294118;0,5588235294117647;2,0;0,4117647058823529;16,147058823529413;18;20;1;126;49;22;70;12
40462.sol;Dice;invest;37;0,21621621621621623;0,0;0,02702702702702703;0,0;0,3783783783783784;7,8545454545454545;0,1891891891891892;14,444444444444445;0,02702702702702703;38,5;0,02702702702702703;1,4864864864864864;0,4864864864864865;0,1891891891891892;1,3513513513513513;0,5675675675675675;15,91891891891892;12;24;1;130;55;18;83;14
40462.sol;Dice;getStatus;3;0,0;0,0;5,333333333333333;0,0;0,0;8,222222222222221;0,0;5,333333333333333;0,6666666666666666;73,33333333333333;0,0;3,0;0,0;0,0;4,0;0,3333333333333333;12,333333333333334;16;8;2;119;9;0;26;1
40462.sol;Dice;bet;13;0,3076923076923077;0,0;1,0;0,15384615384615385;0,38461538461538464;7,346153846153846;0,23076923076923078;8,615384615384615;0,07692307692307693;84,6923076923077;0,0;2,0;0,46153846153846156;0,8461538461538461;3,6923076923076925;1,0;13,153846153846153;16;12;1;582;26;6;61;3
40462.sol;Dice;ownerTakeProfit;16;0,375;0,0;0,0;0,0;0,25;7,555555555555555;0,1875;10,75;0,0625;33,25;0,0625;1,125;0,625;0,1875;2,0;0,375;12,5625;16;16;1;78;18;10;27;4
40462.sol;usingOraclize;strCompare;17;0,29411764705882354;0,0;0,058823529411764705;0,0;0,35294117647058826;2,1818181818181817;0,29411764705882354;9,588235294117647;0,058823529411764705;31,529411764705884;0,058823529411764705;1,2941176470588236;0,7058823529411765;0,23529411764705882;1,2941176470588236;0,4117647058823529;12,764705882352942;9;16;1;70;22;12;31;6
40462.sol;Dice;rebalance;16;0,5;0,0;0,0;0,0625;0,1875;8,814814814814815;0,125;11,5;0,0625;42,0;0,0625;1,6875;0,375;0,5;1,5;0,1875;14,5;15;16;1;114;27;6;44;5
40462.sol;Dice;getBet;7;0,14285714285714285;0,0;0,8571428571428571;0,0;0,14285714285714285;5,0;0,14285714285714285;8,0;0,2857142857142857;37,57142857142857;0,0;1,7142857142857142;0,0;0,0;1,7142857142857142;0,7142857142857143;10,142857142857142;8;12;2;94;12;0;29;4
40462.sol;usingOraclize;oraclize_setNetwork;15;0,2;0,0;0,0;0,0;0,2;11,666666666666666;0,2;9,066666666666666;0,06666666666666667;44,2;0,0;0,6;1,2;0,0;2,0;0,0;10,2;21;12;1;84;9;18;50;3
40462.sol;usingOraclize;strConcat;3;0,0;0,0;1,6666666666666667;0,0;0,0;4,333333333333333;0,0;5,333333333333333;0,3333333333333333;40,666666666666664;0,0;1,0;0,0;0,0;2,6666666666666665;0,0;9,666666666666666;9;8;1;72;3;0;11;1
40462.sol;Dice;getMinInvestment;13;0,15384615384615385;0,0;0,0;0,0;0,46153846153846156;8,058823529411764;0,15384615384615385;11,076923076923077;0,15384615384615385;35,07692307692308;0,07692307692307693;1,3076923076923077;0,46153846153846156;0,15384615384615385;2,0;0,23076923076923078;12,76923076923077;12;20;2;108;17;6;29;4
40462.sol;usingOraclize;getCodeSize;5;0,2;0,0;0,0;0,0;0,0;7,0;0,0;7,2;0,4;30,0;0,0;0,6;0,0;0,0;2,0;0,0;9,2;11;12;2;79;3;0;12;1
